规则序号,规范来源,条款编号,条款子句序号,规范内容
1,公路桥涵设计通用规范,1.0.3,1,公路桥涵结构的设计基准期为 100 年。
2,公路桥涵设计通用规范,1.0.4 ,1,高速公路特大桥和大桥的设计使用年限为100年。
3,公路桥涵设计通用规范,1.0.4 ,2,高速公路的中桥的设计使用年限为100年。
4,公路桥涵设计通用规范,1.0.4 ,3,高速公路小桥和涵洞的设计使用年限为100年。
7,公路桥涵设计通用规范,1.0.4 ,6,一级公路特大桥和大桥的设计使用年限为100年。
8,公路桥涵设计通用规范,1.0.4 ,7,一级公路的中桥的设计使用年限为100年。
9,公路桥涵设计通用规范,1.0.4 ,8,一级公路小桥和涵洞的设计使用年限为100年。
12,公路桥涵设计通用规范,1.0.4 ,11,二级公路特大桥和大桥的设计使用年限为100年。
13,公路桥涵设计通用规范,1.0.4 ,12,二级公路的中桥的设计使用年限为50年。
14,公路桥涵设计通用规范,1.0.4 ,13,二级公路小桥和涵洞的设计使用年限为50年。
17,公路桥涵设计通用规范,1.0.4 ,16,三级公路特大桥和大桥的设计使用年限为100年。
18,公路桥涵设计通用规范,1.0.4 ,17,三级公路的中桥的设计使用年限为50年。
19,公路桥涵设计通用规范,1.0.4 ,18,三级公路小桥和涵洞的设计使用年限为50年。
22,公路桥涵设计通用规范,1.0.4 ,21,四级公路特大桥和大桥的设计使用年限为100年。
23,公路桥涵设计通用规范,1.0.4 ,22,四级公路的中桥的设计使用年限为50年。
24,公路桥涵设计通用规范,1.0.4 ,23,四级公路小桥和涵洞的设计使用年限为30年。
27,公路桥涵设计通用规范,3.2.9,6,高速公路特大桥的设计洪水频率为1/300。
28,公路桥涵设计通用规范,3.2.9,7,高速公路大桥的设计洪水频率为1/100。
29,公路桥涵设计通用规范,3.2.9,8,高速公路的中桥的设计洪水频率为1/100。
30,公路桥涵设计通用规范,3.2.9,9,高速公路小桥的设计洪水频率为1/100。
31,公路桥涵设计通用规范,3.2.9,10,高速公路涵洞及小型排水构造物的设计洪水频率为1/100。
32,公路桥涵设计通用规范,3.2.9,11,一级公路特大桥的设计洪水频率为1/300。
33,公路桥涵设计通用规范,3.2.9,12,一级公路大桥的设计洪水频率为1/100。
34,公路桥涵设计通用规范,3.2.9,13,一级公路中桥的设计洪水频率为1/100。
35,公路桥涵设计通用规范,3.2.9,14,一级公路小桥的设计洪水频率为1/100。
36,公路桥涵设计通用规范,3.2.9,15,一级公路涵洞及小型排水构造物的设计洪水频率为1/100。
37,公路桥涵设计通用规范,3.2.9,16,二级公路特大桥的设计洪水频率为1/100。
38,公路桥涵设计通用规范,3.2.9,17,二级公路大桥的设计洪水频率为1/50。
39,公路桥涵设计通用规范,3.2.9,18,二级公路中桥的设计洪水频率为1/50。
40,公路桥涵设计通用规范,3.2.9,19,二级公路小桥的设计洪水频率为1/50。
41,公路桥涵设计通用规范,3.2.9,20,二级公路涵洞及小型排水构造物的设计洪水频率为1/50。
42,公路桥涵设计通用规范,3.2.9,21,三级公路特大桥的设计洪水频率为 1/100。
43,公路桥涵设计通用规范,3.2.9,22,三级公路大桥的设计洪水频率为 1/25。
44,公路桥涵设计通用规范,3.2.9,23,三级公路中桥的设计洪水频率为1/25。
45,公路桥涵设计通用规范,3.2.9,24,三级公路小桥的设计洪水频率为 1/25。
46,公路桥涵设计通用规范,3.2.9,25,三级公路涵洞及小型排水构造物的设计洪水频率为 1/25。
47,公路桥涵设计通用规范,3.2.9,26,四级公路特大桥的设计洪水频率为 1/100。
48,公路桥涵设计通用规范,3.2.9,27,四级公路大桥的设计洪水频率为 1/25。
49,公路桥涵设计通用规范,3.2.9,28,四级公路中桥的设计洪水频率为 1/25。
50,公路桥涵设计通用规范,3.2.9,29,四级公路小桥的设计洪水频率为 1/25。
51,公路桥涵设计通用规范,3.2.9,30,四级公路涵洞及小型排水构造物的设计洪水频率不作规定。
